#At time	x	process	y	state		arr	w	total	z	remain	y	wait	k
 At time 	1	process	1	started		arr	1	total	11	remain	11	wait	0
 At time 	3	process	1	stopped		arr	1	total	11	remain	9	wait	0
 At time 	3	process	2	started		arr	3	total	12	remain	12	wait	0
 At time 	5	process	2	stopped		arr	3	total	12	remain	10	wait	0
 At time 	5	process	3	started		arr	4	total	13	remain	13	wait	1
 At time 	7	process	3	stopped		arr	4	total	13	remain	11	wait	1
 At time 	7	process	2	resumed		arr	3	total	12	remain	10	wait	2
 At time 	9	process	2	stopped		arr	3	total	12	remain	8	wait	2
 At time 	9	process	3	resumed		arr	4	total	13	remain	11	wait	3
 At time 	11	process	3	stopped		arr	4	total	13	remain	9	wait	3
 At time 	11	process	4	started		arr	10	total	14	remain	14	wait	1
 At time 	13	process	4	stopped		arr	10	total	14	remain	12	wait	1
 At time 	13	process	5	started		arr	10	total	15	remain	15	wait	3
 At time 	15	process	5	stopped		arr	10	total	15	remain	13	wait	3
 At time 	15	process	6	started		arr	11	total	3	remain	3	wait	4
 At time 	17	process	6	stopped		arr	11	total	3	remain	1	wait	4
 At time 	17	process	4	resumed		arr	10	total	14	remain	12	wait	5
 At time 	19	process	4	stopped		arr	10	total	14	remain	10	wait	5
 At time 	19	process	5	resumed		arr	10	total	15	remain	13	wait	7
 At time 	21	process	5	stopped		arr	10	total	15	remain	11	wait	7
 At time 	21	process	6	resumed		arr	11	total	3	remain	1	wait	8
 At time 	22	process	6	finished	arr	11	total	3	remain	0	wait	8	TA	11	WTA	3.666667
 At time 	22	process	4	resumed		arr	10	total	14	remain	10	wait	8
 At time 	24	process	4	stopped		arr	10	total	14	remain	8	wait	8
 At time 	24	process	5	resumed		arr	10	total	15	remain	11	wait	10
 At time 	26	process	5	stopped		arr	10	total	15	remain	9	wait	10
 At time 	26	process	1	resumed		arr	1	total	11	remain	9	wait	23
 At time 	28	process	1	stopped		arr	1	total	11	remain	7	wait	23
 At time 	28	process	2	resumed		arr	3	total	12	remain	8	wait	21
 At time 	30	process	2	stopped		arr	3	total	12	remain	6	wait	21
 At time 	30	process	3	resumed		arr	4	total	13	remain	9	wait	22
 At time 	32	process	3	stopped		arr	4	total	13	remain	7	wait	22
 At time 	32	process	4	resumed		arr	10	total	14	remain	8	wait	16
 At time 	34	process	4	stopped		arr	10	total	14	remain	6	wait	16
 At time 	34	process	5	resumed		arr	10	total	15	remain	9	wait	18
 At time 	36	process	5	stopped		arr	10	total	15	remain	7	wait	18
 At time 	36	process	1	resumed		arr	1	total	11	remain	7	wait	31
 At time 	38	process	1	stopped		arr	1	total	11	remain	5	wait	31
 At time 	38	process	2	resumed		arr	3	total	12	remain	6	wait	29
 At time 	40	process	2	stopped		arr	3	total	12	remain	4	wait	29
 At time 	40	process	3	resumed		arr	4	total	13	remain	7	wait	30
 At time 	42	process	3	stopped		arr	4	total	13	remain	5	wait	30
 At time 	42	process	4	resumed		arr	10	total	14	remain	6	wait	24
 At time 	44	process	4	stopped		arr	10	total	14	remain	4	wait	24
 At time 	44	process	5	resumed		arr	10	total	15	remain	7	wait	26
 At time 	46	process	5	stopped		arr	10	total	15	remain	5	wait	26
 At time 	46	process	1	resumed		arr	1	total	11	remain	5	wait	39
 At time 	48	process	1	stopped		arr	1	total	11	remain	3	wait	39
 At time 	48	process	2	resumed		arr	3	total	12	remain	4	wait	37
 At time 	50	process	2	stopped		arr	3	total	12	remain	2	wait	37
 At time 	50	process	3	resumed		arr	4	total	13	remain	5	wait	38
 At time 	52	process	3	stopped		arr	4	total	13	remain	3	wait	38
 At time 	52	process	4	resumed		arr	10	total	14	remain	4	wait	32
 At time 	54	process	4	stopped		arr	10	total	14	remain	2	wait	32
 At time 	54	process	5	resumed		arr	10	total	15	remain	5	wait	34
 At time 	56	process	5	stopped		arr	10	total	15	remain	3	wait	34
 At time 	56	process	1	resumed		arr	1	total	11	remain	3	wait	47
 At time 	58	process	1	stopped		arr	1	total	11	remain	1	wait	47
 At time 	58	process	2	resumed		arr	3	total	12	remain	2	wait	45
 At time 	60	process	2	finished	arr	3	total	12	remain	0	wait	45	TA	57	WTA	4.750000
 At time 	60	process	3	resumed		arr	4	total	13	remain	3	wait	46
 At time 	62	process	3	stopped		arr	4	total	13	remain	1	wait	46
 At time 	62	process	4	resumed		arr	10	total	14	remain	2	wait	40
 At time 	64	process	4	finished	arr	10	total	14	remain	0	wait	40	TA	54	WTA	3.857143
 At time 	64	process	5	resumed		arr	10	total	15	remain	3	wait	42
 At time 	66	process	5	stopped		arr	10	total	15	remain	1	wait	42
 At time 	66	process	1	resumed		arr	1	total	11	remain	1	wait	55
 At time 	67	process	1	finished	arr	1	total	11	remain	0	wait	55	TA	66	WTA	6.000000
 At time 	67	process	3	resumed		arr	4	total	13	remain	1	wait	51
 At time 	68	process	3	finished	arr	4	total	13	remain	0	wait	51	TA	64	WTA	4.923077
 At time 	68	process	5	resumed		arr	10	total	15	remain	1	wait	44
 At time 	69	process	5	finished	arr	10	total	15	remain	0	wait	44	TA	59	WTA	3.933333
